TICKER,NAME,INDUSTRY_SECTOR,INDUSTRY_GROUP,CUR_MKT_CAP,PX_LAST,NAME_OF_CEO,CEO_START_DATE,TOT_CEO_COMP,COMPANY_TEL_NUMBER,COMPANY_WEB_ADDRESS
DVA UN  EQUITY,DAVITA INC,"Consumer, Non-cyclical",Healthcare-Services,12141039978.12,66.6,Kent J Thiry,10/9/1999,12296671,1-303-405-2100,www.davita.com
DVN UN  EQUITY,DEVON ENERGY CORP,Energy,Oil&Gas,16566889000.00,31.5,"David A Hager ""Dave""",8/1/2015,8771358,1-405-235-3611,www.devonenergy.com
DWDP UN  EQUITY,DOWDUPONT INC,Basic Materials,Chemicals,154442762541.60,66.42,"Edward D Breen ""Ed""",9/1/2017,13792002,1-302-774-1000,www.dow-dupont.com
DXC UN  EQUITY,DXC TECHNOLOGY CO,Technology,Computers,30691447336.95,107.39,"J Michael Lawrie ""Mike""",4/1/2017,13768436,1-650-687-5817,www.dxc.technology
EA UW  EQUITY,ELECTRONIC ARTS INC,Technology,Software,39018868243.95,127.23,Andrew Wilson,9/17/2013,19972718,1-650-628-1500,www.ea.com
EBAY UW  EQUITY,EBAY INC,Communications,Internet,42466863079.08,41.94,Devin N Wenig,7/17/2015,15941192,1-408-376-7400,www.ebayinc.com
ECL UN  EQUITY,ECOLAB INC,"Consumer, Non-cyclical",Commercial Services,39356636809.66,136.47,Douglas M Baker Jr,7/1/2004,14383229,1-651-293-2233,www.ecolab.com
ED UN  EQUITY,CONSOLIDATED EDISON INC,Utilities,Electric,23826079093.20,76.79,John J Mcavoy,1/1/2014,14802404,1-212-460-4600,www.conedison.com
EFX UN  EQUITY,EQUIFAX INC,"Consumer, Non-cyclical",Commercial Services,14800462269.12,123.21,Paulino Do Rego Barros Jr,9/26/2017,14964563,1-404-885-8000,www.equifax.com
EIX UN  EQUITY,EDISON INTERNATIONAL,Utilities,Electric,20542396538.30,63.05,Pedro J Pizarro,9/30/2016,9754920,1-626-302-2222,www.edison.com
EL UN  EQUITY,ESTEE LAUDER COMPANIES-CL A,"Consumer, Non-cyclical",Cosmetics/Personal Care,54302301217.60,147.65,Fabrizio Freda,7/1/2009,18983239,1-212-572-4200,www.elcompanies.com
EMN UN  EQUITY,EASTMAN CHEMICAL CO,Basic Materials,Chemicals,15241677648.19,106.61,Mark J Costa,1/1/2014,11398067,1-423-229-2000,www.eastman.com
EMR UN  EQUITY,EMERSON ELECTRIC CO,Industrial,Electrical Compo&Equip,45048074747.76,70.97,David N Farr,10/1/2000,12548528,1-314-553-2000,www.emerson.com
EOG UN  EQUITY,EOG RESOURCES INC,Energy,Oil&Gas,58714384567.43,101.5,"William R Thomas ""Bill""",7/1/2013,10559647,1-713-651-7000,www.eogresources.com
EQIX UW  EQUITY,EQUINIX INC,Financial,REITS,32838451282.56,414.41,Peter F Van Camp,5/1/2000,12048504,1-650-598-6000,www.equinix.com
EQR UN  EQUITY,EQUITY RESIDENTIAL,Financial,REITS,22101219347.13,60.03,David J Neithercut,1/1/2006,8673704,1-312-474-1300,www.equityapartments.com
EQT UN  EQUITY,EQT CORP,Energy,Oil&Gas,12821651040.00,48.49,David L Porges,4/21/2010,9778648,1-412-553-5700,www.eqt.com
ES UN  EQUITY,EVERSOURCE ENERGY,Utilities,Electric,18306493128.16,57.77,"James J Judge ""Jim""",5/4/2016,15915461,1-800-286-5000,www.eversource.com
ESRX UW  EQUITY,EXPRESS SCRIPTS HOLDING CO,"Consumer, Non-cyclical",Pharmaceuticals,40639159946.45,72.41,"Timothy C Wentworth ""Tim""",5/4/2016,26438979,1-314-996-0900,www.express-scripts.com
ESS UN  EQUITY,ESSEX PROPERTY TRUST INC,Financial,REITS,15852974735.15,240.14,"Michael J Schall ""Mike""",1/1/2011,4031344,1-650-655-7800,www.essexapartmenthomes.com
ETFC UW  EQUITY,E*TRADE FINANCIAL CORP,Financial,Diversified Finan Serv,15218344187.60,57.12,Karl A Roessner,9/12/2016,15484310,1-646-521-4418,us.etrade.com
ETN UN  EQUITY,EATON CORP PLC,Industrial,Miscellaneous Manufactur,35547690240.12,81.13,Craig Arnold,6/1/2016,15178141,1-440-523-4205,www.eaton.com
ETR UN  EQUITY,ENTERGY CORP,Utilities,Electric,14199513584.65,78.61,Leo P Denault,2/1/2013,13158220,1-504-576-4000,www.entergy.com
EVHC UN  EQUITY,ENVISION HEALTHCARE CORP,"Consumer, Non-cyclical",Healthcare-Services,4623000635.93,38.2,Christopher A Holden,12/2/2016,21726391,1-615-665-1283,www.evhc.net
EW UN  EQUITY,EDWARDS LIFESCIENCES CORP,"Consumer, Non-cyclical",Healthcare-Products,29701552785.36,141.42,"Michael A Mussallem ""Mike""",1/1/2000,9734099,1-949-250-2500,www.edwards.com
EXC UN  EQUITY,EXELON CORP,Utilities,Electric,36873773335.79,38.21,"Christopher M Crane ""Chris""",3/12/2012,15231701,1-800-483-3220,www.exeloncorp.com
EXPD UW  EQUITY,EXPEDITORS INTL WASH INC,Industrial,Transportation,11363980410.31,64.37,"Jeffrey S Musser ""Jeff""",3/1/2014,5186082,1-206-674-3400,www.expeditors.com
EXPE UW  EQUITY,EXPEDIA INC,Communications,Internet,16647014195.28,109.51,Mark D Okerstrom,8/30/2017,2448688,1-425-679-7200,www.expediainc.com
EXR UN  EQUITY,EXTRA SPACE STORAGE INC,Financial,REITS,10786291646.24,85.58,"Joseph D Margolis ""Joe""",1/1/2017,3171536,1-801-365-4600,www.extraspace.com
F UN  EQUITY,FORD MOTOR CO,"Consumer, Cyclical",Auto Manufacturers,43806202007.40,11.02,"James P Hackett ""Jim""",5/22/2017,22102498,1-313-322-3000,www.ford.com
FAST UW  EQUITY,FASTENAL CO,"Consumer, Cyclical",Distribution/Wholesale,16338381635.20,56.8,Daniel L Florness,1/1/2016,2039356,1-507-454-5374,www.fastenal.com
FB UW  EQUITY,FACEBOOK INC-A,Communications,Internet,482086543287.36,164.39,Mark Elliot Zuckerberg,2/4/2004,5765832,1-650-618-7714,www.facebook.com
FBHS UN  EQUITY,FORTUNE BRANDS HOME & SECURI,Industrial,Building Materials,9005415850.08,60.84,"Christopher J Klein ""Chris""",8/26/2011,9372432,1-847-484-4400,www.fortunebrands.com
FCX UN  EQUITY,FREEPORT-MCMORAN INC,Basic Materials,Mining,26683778613.49,18.42,Richard C Adkerson,12/1/2003,24003605,1-602-366-8100,www.fcx.com
FDX UN  EQUITY,FEDEX CORP,Industrial,Transportation,67553726231.91,252,"Frederick Wallace Smith ""Fred""",1/21/2000,15605597,1-901-818-7500,www.fedex.com
FE UN  EQUITY,FIRSTENERGY CORP,Utilities,Electric,16036889033.88,33.73,"Charles E Jones Jr ""Chuck""",1/1/2015,14117391,1-800-736-3402,www.firstenergycorp.com
FFIV UW  EQUITY,F5 NETWORKS INC,Communications,Internet,9205545340.55,148.85,Francois Locoh-Donou,4/3/2017,18296349,1-206-272-5555,www.f5.com
FIS UN  EQUITY,FIDELITY NATIONAL INFO SERV,Technology,Software,33323262474.06,100.62,Gary A Norcross,1/1/2015,20020448,1-904-438-6000,www.fisglobal.com
FISV UW  EQUITY,FISERV INC,Technology,Software,30276316390.56,73.23,Jeffery W Yabuki,12/1/2005,21241782,1-262-879-5000,www.fiserv.com
FITB UW  EQUITY,FIFTH THIRD BANCORP,Financial,Banks,23103203079.39,33.63,Greg D Carmichael,11/1/2015,8688292,1-800-972-3030,www.53.com
FL UN  EQUITY,FOOT LOCKER INC,"Consumer, Cyclical",Retail,5300320406.97,43.73,"Richard A Johnson ""Dick""",12/1/2014,12581436,1-212-720-3700,www.footlocker-inc.com
FLIR UW  EQUITY,FLIR SYSTEMS INC,Industrial,Electronics,6905698535.55,49.71,James J Cannon,6/19/2017,11725704,1-503-498-3547,www.flir.com
FLR UN  EQUITY,FLUOR CORP,Industrial,Engineering&Construction,8052033377.45,57.55,David Thomas Seaton,2/2/2011,10253787,1-469-398-7000,www.fluor.com
FLS UN  EQUITY,FLOWSERVE CORP,Industrial,Machinery-Diversified,5798267626.58,44.33,R Scott Rowe,4/1/2017,6564663,1-972-443-6500,www.flowserve.com
FMC UN  EQUITY,FMC CORP,Basic Materials,Chemicals,10840704133.26,80.47,Pierre R Brondeau,1/1/2010,13011873,1-215-299-6000,www.fmc.com
FOX UW  EQUITY,TWENTY-FIRST CENTURY FOX - B,Communications,Media,67728639703.67,36.24,James Rupert Murdoch,7/1/2015,20315944,1-212-852-7000,www.21cf.com
FOXA UW  EQUITY,TWENTY-FIRST CENTURY FOX-A,Communications,Media,67723369659.48,36.79,James Rupert Murdoch,7/1/2015,20315944,1-212-852-7000,www.21cf.com
FRT UN  EQUITY,FEDERAL REALTY INVS TRUST,Financial,REITS,8376175563.44,114.57,"Donald C Wood ""Don""",1/1/2003,9496740,1-301-998-8100,www.federalrealty.com
FTI UN  EQUITY,TECHNIPFMC PLC,Energy,Oil&Gas Services,13836173449.89,29.86,Douglas J Pferdehirt,01-01-2014,12911424,44-20-3429-3950,www.technipfmc.com
FTV UN  EQUITY,FORTIVE CORP,Industrial,Electronics,27226516292.42,78.23,"James A Lico ""Jim""",01-01-2014,10592788,1-425-446-5000,www.fortive.com
GD UN  EQUITY,GENERAL DYNAMICS CORP,Industrial,Aerospace/Defense,67006040914.86,225.54,Phebe N Novakovic,1/1/2013,21358077,1-703-876-3000,www.generaldynamics.com
GE UN  EQUITY,GENERAL ELECTRIC CO,Industrial,Miscellaneous Manufactur,119094371674.53,13.715,John L Flannery,8/1/2017,17111870,1-203-373-2211,www.ge.com
GGP UN  EQUITY,GGP INC,Financial,REITS,20327050829.16,21.25,Sandeep Lakhmi Mathrani,1/17/2011,12748988,1-312-960-5000,www.ggp.com
GILD UW  EQUITY,GILEAD SCIENCES INC,"Consumer, Non-cyclical",Biotechnology,100729080000.00,76.99,John F Milligan,3/10/2016,24377584,1-650-574-3000,www.gilead.com
GIS UN  EQUITY,GENERAL MILLS INC,"Consumer, Non-cyclical",Food,28335535473.26,49.81,"Jeffrey L Harmening ""Jeff""",6/1/2017,9164524,1-763-764-2268,www.generalmills.com
GLW UN  EQUITY,CORNING INC,Industrial,Electronics,24814521813.72,29.21,Wendell P Weeks,4/28/2005,16868575,1-607-974-9000,www.corning.com
GM UN  EQUITY,GENERAL MOTORS CO,"Consumer, Cyclical",Auto Manufacturers,52001469598.19,37.135,Mary T Barra,1/15/2014,22582059,1-313-667-1500,www.gm.com
GOOG UW  EQUITY,ALPHABET INC-CL C,Communications,Internet,762230582328.22,1096.42,"Lawrence E Page ""Larry""",10/2/2015,15248993,1-650-253-0000,www.abc.xyz
GOOGL UW  EQUITY,ALPHABET INC-CL A,Communications,Internet,762250866637.87,1095.67,"Lawrence E Page ""Larry""",10/2/2015,15103881,1-650-253-0000,www.abc.xyz
GPC UN  EQUITY,GENUINE PARTS CO,"Consumer, Cyclical",Retail,13229591896.64,90.2,Paul D Donahue,5/1/2016,4919486,1-770-953-1700,www.genpt.com
GPN UN  EQUITY,GLOBAL PAYMENTS INC,"Consumer, Non-cyclical",Commercial Services,18687487074.30,117.09,Jeffrey Steven Sloan,10/1/2013,9135783,1-770-829-8000,www.globalpaymentsinc.com
GPS UN  EQUITY,GAP INC/THE,"Consumer, Cyclical",Retail,12657297726.15,32.54,"Arthur L Peck ""Art""",2/1/2015,8906166,1-650-952-4400,www.gapinc.com
GRMN UW  EQUITY,GARMIN LTD,Industrial,Electronics,11283812440.00,59.96,Clifton A Pemble,1/1/2013,2121889,41-52-630-1600,www.garmin.com
GS UN  EQUITY,GOLDMAN SACHS GROUP INC,Financial,Banks,103853030926.56,263.26,Lloyd Craig Blankfein,6/1/2006,20206898,1-212-902-0300,www.goldmansachs.com
GT UW  EQUITY,GOODYEAR TIRE & RUBBER CO,"Consumer, Cyclical",Auto Parts&Equipment,6755051739.20,28.09,"Richard J Kramer ""Rich""",4/13/2010,10845759,1-330-796-2121,www.goodyear.com
GWW UN  EQUITY,WW GRAINGER INC,"Consumer, Cyclical",Distribution/Wholesale,16186489068.75,288.75,"Donald G Macpherson ""Dg""",10/1/2016,6966359,1-847-535-1000,www.grainger.com
HAL UN  EQUITY,HALLIBURTON CO,Energy,Oil&Gas Services,39799648348.66,45.51,"Jeffrey Allen Miller ""Jeff""",6/1/2017,17846913,1-281-871-2699,www.halliburton.com
HAS UW  EQUITY,HASBRO INC,"Consumer, Cyclical",Toys/Games/Hobbies,10607257511.02,85.42,Brian D Goldner,5/22/2008,10542242,1-401-431-8697,www.hasbro.com
HBAN UW  EQUITY,HUNTINGTON BANCSHARES INC,Financial,Banks,17040887003.38,15.87,Stephen D Steinour,1/14/2009,8679970,1-614-480-8300,www.huntington.com
HBI UN  EQUITY,HANESBRANDS INC,"Consumer, Cyclical",Apparel,6886358901.24,19.11,Gerald W Evans Jr,10/1/2016,9581985,1-336-519-8080,www.hanes.com
HCA UN  EQUITY,HCA HEALTHCARE INC,"Consumer, Non-cyclical",Healthcare-Services,35404915765.52,100.53,R Milton Johnson,1/1/2014,17268724,1-615-344-9551,www.hcahealthcare.com
HCP UN  EQUITY,HCP INC,Financial,REITS,10578630165.48,22.535,"Thomas M Herzog ""Tom""",1/1/2017,12491509,1-949-407-0700,www.hcpi.com
HD UN  EQUITY,HOME DEPOT INC,"Consumer, Cyclical",Retail,207392154734.40,177.6,Craig A Menear,11/1/2014,11471601,1-770-433-8211,www.homedepot.com
HES UN  EQUITY,HESS CORP,Energy,Oil&Gas,15229691749.10,48.38,John B Hess,5/1/1995,11705332,1-212-997-8500,www.hess.com
HIG UN  EQUITY,HARTFORD FINANCIAL SVCS GRP,Financial,Insurance,19212738248.34,53.81,Christopher J Swift,7/1/2014,10079121,1-860-547-5000,www.thehartford.com
HII UN  EQUITY,HUNTINGTON INGALLS INDUSTRIE,Industrial,Shipbuilding,11491582263.84,256.59,"C Michael Petters ""Mike""",3/31/2011,7206236,1-757-380-2000,www.huntingtoningalls.com
HLT UN  EQUITY,HILTON WORLDWIDE HOLDINGS IN,"Consumer, Cyclical",Lodging,25744659285.60,81.45,Christopher J Nassetta,12/1/2007,11001328,1-703-883-1000,www.hiltonworldwide.com
HOG UN  EQUITY,HARLEY-DAVIDSON INC,"Consumer, Cyclical",Leisure Time,7157581357.50,42.5,"Matthew S Levatich ""Matt""",5/1/2015,9350303,1-414-342-4680,www.harley-davidson.com
HOLX UW  EQUITY,HOLOGIC INC,"Consumer, Non-cyclical",Healthcare-Products,10490424915.30,37.95,Stephen P Macmillan,12/7/2013,11204908,1-508-263-2900,www.hologic.com
HON UN  EQUITY,HONEYWELL INTERNATIONAL INC,Industrial,Electronics,112908206769.90,150.94,Darius Adamczyk,01-01-2014,37455692,1-973-455-2000,www.honeywell.com
HP UN  EQUITY,HELMERICH & PAYNE,Energy,Oil&Gas,7119889504.80,65.39,John W Lindsay,3/5/2014,6230952,1-918-742-5531,www.hpinc.com
HPE UN  EQUITY,HEWLETT PACKARD ENTERPRISE,Technology,Computers,29091524461.79,18.73,Antonio Fabio Neri,2/1/2018,17084122,1-650-687-5817,www.hpe.com
HPQ UN  EQUITY,HP INC,Technology,Computers,38120210691.60,23.28,Dion J Weisler,11/1/2015,14730025,1-650-857-1501,www.hp.com
HRB UN  EQUITY,H&R BLOCK INC,"Consumer, Non-cyclical",Commercial Services,5449717935.20,26.06,"Jeffrey J Jones II ""Jeff""",10/9/2017,8037677,1-816-854-3000,www.hrblock.com
HRL UN  EQUITY,HORMEL FOODS CORP,"Consumer, Non-cyclical",Food,17818824113.85,33.65,James P Snee,10/31/2016,6320162,1-507-437-5611,www.hormelfoods.com
HRS UN  EQUITY,HARRIS CORP,Industrial,Aerospace/Defense,18793740516.87,158.29,"William M Brown ""Bill""",11/1/2011,12476150,1-321-727-9100,www.harris.com
HSIC UW  EQUITY,HENRY SCHEIN INC,"Consumer, Non-cyclical",Healthcare-Products,10085413404.00,65.62,Stanley M Bergman,1/1/1989,12594982,1-631-843-5500,www.henryschein.com
HST UN  EQUITY,HOST HOTELS & RESORTS INC,Financial,REITS,13867352048.61,18.91,"James F Risoleo ""Jim""",1/1/2017,9399474,1-240-744-1000,www.hosthotels.com
HSY UN  EQUITY,HERSHEY CO/THE,"Consumer, Non-cyclical",Food,21109417694.46,100.34,Michele G Buck,3/1/2017,12679576,1-717-534-4200,www.hersheys.com
HUM UN  EQUITY,HUMANA INC,"Consumer, Non-cyclical",Healthcare-Services,37833130234.06,273.98,Bruce D Broussard,1/1/2013,19768525,1-502-580-1000,www.humana.com
IBM UN  EQUITY,INTL BUSINESS MACHINES CORP,Technology,Computers,143591651316.72,155.86,"Virginia M Rometty ""Ginni""",1/1/2012,18595350,1-914-499-1900,www.ibm.com
ICE UN  EQUITY,INTERCONTINENTAL EXCHANGE IN,Financial,Diversified Finan Serv,43351811156.15,74.43,"Jeffrey Craig Sprecher ""Jeff""",5/11/2000,10730399,1-770-857-4700,www.theice.com
IDXX UW  EQUITY,IDEXX LABORATORIES INC,"Consumer, Non-cyclical",Healthcare-Products,17448953182.32,200.28,Jonathan W Ayers,1/24/2002,5863681,1-207-556-0300,www.idexx.com
IFF UN  EQUITY,INTL FLAVORS & FRAGRANCES,Basic Materials,Chemicals,10736526597.14,136.12,Andreas Fibig,9/1/2014,6210233,1-212-765-5500,www.iff.com
ILMN UW  EQUITY,ILLUMINA INC,"Consumer, Non-cyclical",Biotechnology,37004310000.00,251.85,Francis A Desouza,7/5/2016,11400734,1-858-202-4500,www.illumina.com
INCY UW  EQUITY,INCYTE CORP,"Consumer, Non-cyclical",Biotechnology,18377776583.03,86.77,Herve Hoppenot,1/13/2014,16087031,1-302-498-6700,www.incyte.com
INFO UW  EQUITY,IHS MARKIT LTD,"Consumer, Non-cyclical",Commercial Services,20883105216.93,49.17,Jerre L Stead,01-01-2014,8634144,44-20-7260-2000,www.ihsmarkit.com
INTC UW  EQUITY,INTEL CORP,Technology,Semiconductors,240308640000.00,51.46,Brian M Krzanich,5/16/2013,19079000,1-408-765-8080,www.intel.com
INTU UW  EQUITY,INTUIT INC,Technology,Software,45559597174.96,177.92,Brad D Smith,1/1/2008,16389053,1-650-944-6000,www.intuit.com
IP UN  EQUITY,INTERNATIONAL PAPER CO,Basic Materials,Forest Products&Paper,22051024408.80,53.43,Mark S Sutton,11/1/2014,13300308,1-901-419-9000,www.internationalpaper.com
IPG UN  EQUITY,INTERPUBLIC GROUP OF COS INC,Communications,Advertising,8823578054.40,22.94,Michael I Roth,1/19/2005,17978177,1-212-704-1200,www.interpublic.com
IPGP UW  EQUITY,IPG PHOTONICS CORP,Technology,Semiconductors,13532949642.00,250.25,Valentin P Gapontsev,1/1/1990,1481397,1-508-373-1100,www.ipgphotonics.com
IQV UN  EQUITY,IQVIA HOLDINGS INC,"Consumer, Non-cyclical",Healthcare-Services,21776721656.00,104.56,Ari Bousbib,10/3/2016,38029517,1-203-448-4600,www.iqvia.com
IR UN  EQUITY,INGERSOLL-RAND PLC,Industrial,Miscellaneous Manufactur,22342602223.59,89.44,"Michael W Lamach ""Mike""",2/4/2010,16372314,1-704-655-4000,company.ingersollrand.com
IRM UN  EQUITY,IRON MOUNTAIN INC,Financial,REITS,8964488869.58,31.45,"William L Meaney ""Bill""",1/7/2013,8450044,1-617-535-4766,www.ironmountain.com
ISRG UW  EQUITY,INTUITIVE SURGICAL INC,"Consumer, Non-cyclical",Healthcare-Products,48733157394.03,430.85,Gary S Guthart,1/1/2010,5060220,1-408-523-2100,www.intuitivesurgical.com
IT UN  EQUITY,GARTNER INC,"Consumer, Non-cyclical",Commercial Services,11353318786.83,124.93,Eugene A Hall,8/1/2004,10258926,1-203-316-1111,www.gartner.com
ITW UN  EQUITY,ILLINOIS TOOL WORKS,Industrial,Miscellaneous Manufactur,57369434420.43,167.97,Ernest Scott Santi,10/15/2012,14839529,1-847-724-7500,www.itw.com
IVZ UN  EQUITY,INVESCO LTD,Financial,Diversified Finan Serv,13303549333.05,32.645,"Martin L Flanagan ""Marty""",8/1/2005,21887848,1-404-892-0896,www.invesco.com
JBHT UW  EQUITY,HUNT (JB) TRANSPRT SVCS INC,Industrial,Transportation,13270415627.72,120.91,John N Roberts III,1/1/2011,859252,1-479-820-0000,www.jbhunt.com
JCI UN  EQUITY,JOHNSON CONTROLS INTERNATION,Industrial,Building Materials,33108267335.00,35.79,George R Oliver,11/17/2014,90874883,1-414-524-1200,www.johnsoncontrols.com
JEC UN  EQUITY,JACOBS ENGINEERING GROUP INC,Industrial,Engineering&Construction,8545616676.48,60.32,Steven J Demetriou,7/28/2016,11145911,1-626-578-3500,www.jacobs.com
JNJ UN  EQUITY,JOHNSON & JOHNSON,"Consumer, Non-cyclical",Pharmaceuticals,349413816105.75,130.23,Alex Gorsky,4/26/2012,29802564,1-732-524-0400,www.jnj.com
JNPR UN  EQUITY,JUNIPER NETWORKS INC,Communications,Telecommunications,8769230279.27,25.49,Rami Rahim,11/18/2014,7544013,1-408-745-2000,www.juniper.net
JPM UN  EQUITY,JPMORGAN CHASE & CO,Financial,Banks,394400669785.72,114.92,"James Dimon ""Jamie""",12/31/2005,27236892,1-212-270-6000,www.jpmorganchase.com
JWN UN  EQUITY,NORDSTROM INC,"Consumer, Cyclical",Retail,8241869900.32,49.12,Blake W Nordstrom,01-01-2014,18414846,1-206-628-2111,shop.nordstrom.com
K UN  EQUITY,KELLOGG CO,"Consumer, Non-cyclical",Food,22895780386.86,66.06,"Steven A Cahillane ""Steve""",10/2/2017,17715520,1-269-961-2000,www.kelloggcompany.com
KEY UN  EQUITY,KEYCORP,Financial,Banks,22226704131.72,20.945,Beth Elaine Mooney,5/1/2011,8167203,1-800-539-2968,www.key.com
KHC UW  EQUITY,KRAFT HEINZ CO/THE,"Consumer, Non-cyclical",Food,76687796825.64,62.98,Bernardo Vieira Hees,01-01-2014,4194179,1-412-456-5700,www.kraftheinzcompany.com
KIM UN  EQUITY,KIMCO REALTY CORP,Financial,REITS,5982597265.92,14.095,Conor C Flynn,1/1/2016,5563791,1-516-869-9000,www.kimcorealty.com
KLAC UW  EQUITY,KLA-TENCOR CORP,Technology,Semiconductors,18383553469.02,118.07,"Richard P Wallace ""Rick""",1/1/2006,14579250,1-408-875-3000,www.kla-tencor.com
KMB UN  EQUITY,KIMBERLY-CLARK CORP,"Consumer, Non-cyclical",Household Products/Wares,38570180320.42,110.24,"Thomas J Falk ""Tom""",1/1/2002,16209534,1-972-281-1200,www.kimberly-clark.com
KMI UN  EQUITY,KINDER MORGAN INC,Energy,Pipelines,34524943604.60,15.65,"Steven J Kean ""Steve""",6/1/2015,287711,1-713-369-9000,www.kindermorgan.com
KMX UN  EQUITY,CARMAX INC,"Consumer, Cyclical",Retail,11187252083.76,61.84,"William D Nash ""Bill""",9/1/2016,34951142,1-804-747-0422,www.carmax.com
KO UN  EQUITY,COCA-COLA CO/THE,"Consumer, Non-cyclical",Beverages,183714638115.36,43.075,James R Quincey,5/1/2017,25374669,1-404-676-2121,www.coca-colacompany.com
KORS UN  EQUITY,MICHAEL KORS HOLDINGS LTD,"Consumer, Cyclical",Apparel,9516103663.30,62.51,John D Idol,12/1/2003,8590295,44-207-632-8600,www.michaelkors.com
KR UN  EQUITY,KROGER CO,"Consumer, Non-cyclical",Food,20619459170.63,23.4,W Rodney Mcmullen,1/1/2014,13217392,1-513-762-4000,www.kroger.com
KSS UN  EQUITY,KOHLS CORP,"Consumer, Cyclical",Retail,10765746750.96,64.1,Kevin Mansell,8/21/2008,8397658,1-262-703-7000,www.kohls.com
KSU UN  EQUITY,KANSAS CITY SOUTHERN,Industrial,Transportation,10974178289.96,106.49,Patrick J Ottensmeyer,7/1/2016,12224865,1-816-983-1303,www.kcsouthern.com
L UN  EQUITY,LOEWS CORP,Financial,Insurance,16970672236.31,51.61,"James S Tisch ""Jim""",1/1/1998,11027401,1-212-521-2000,www.loews.com
LB UN  EQUITY,L BRANDS INC,"Consumer, Cyclical",Retail,11194636919.82,39.68,Leslie Herbert Wexner,5/22/2002,14773844,1-614-415-7000,www.lb.com
LEG UN  EQUITY,LEGGETT & PLATT INC,"Consumer, Cyclical",Home Furnishings,5966970018.36,45.26,Karl G Glassman,1/1/2016,8055052,1-417-358-8131,www.leggett.com
LEN UN  EQUITY,LENNAR CORP-A,"Consumer, Cyclical",Home Builders,18709706483.78,58.84,Stuart A Miller,4/1/1997,19127533,1-305-559-4000,www.lennar.com
LH UN  EQUITY,LABORATORY CRP OF AMER HLDGS,"Consumer, Non-cyclical",Healthcare-Services,17401463000.00,170.77,David P King,1/1/2007,10853497,1-336-229-1127,www.labcorp.com
LKQ UW  EQUITY,LKQ CORP,"Consumer, Cyclical",Distribution/Wholesale,12168087615.00,39.32,"Dominick P Zarcone ""Nick""",5/31/2017,4649093,1-312-621-1950,www.lkqcorp.com
LLL UN  EQUITY,L3 TECHNOLOGIES INC,Industrial,Aerospace/Defense,16220518894.08,207.36,"Christopher Eugene Kubasik ""Chris""",1/1/2018,13505303,1-212-697-1111,www.l3t.com
LLY UN  EQUITY,ELI LILLY & CO,"Consumer, Non-cyclical",Pharmaceuticals,85350825822.59,78.1,"David A Ricks ""Dave""",1/1/2017,15845991,1-317-276-2000,www.lilly.com
LMT UN  EQUITY,LOCKHEED MARTIN CORP,Industrial,Aerospace/Defense,96168404275.72,336.46,Marillyn A Hewson,1/1/2013,22866843,1-301-897-6000,www.lockheedmartin.com
LNC UN  EQUITY,LINCOLN NATIONAL CORP,Financial,Insurance,16753449384.48,76.76,Dennis R Glass,7/6/2007,13265412,1-484-583-1400,www.lfg.com
LNT UN  EQUITY,ALLIANT ENERGY CORP,Utilities,Electric,9172121940.72,39.65,"Patricia Leonard Kampling ""Pat""",4/1/2012,6139954,1-608-458-3311,www.alliantenergy.com
LOW UN  EQUITY,LOWE'S COS INC,"Consumer, Cyclical",Retail,70919638225.59,85.48,Robert A Niblock,1/1/2005,12670019,1-704-758-1000,www.lowes.com
LRCX UW  EQUITY,LAM RESEARCH CORP,Technology,Semiconductors,35670298747.60,219.26,Martin B Anstice,1/1/2012,11158881,1-510-572-0200,www.lamrc.com
LUK UN  EQUITY,LEUCADIA NATIONAL CORP,Financial,Investment Companies,8318502132.80,23.35,"Richard B Handler ""Rich""",3/1/2013,17583374,1-212-460-1900,www.leucadia.com
LUV UN  EQUITY,SOUTHWEST AIRLINES CO,"Consumer, Cyclical",Airlines,35723901119.48,60.74,Gary C Kelly,7/15/2004,6181660,1-214-792-4000,www.southwest.com
LYB UN  EQUITY,LYONDELLBASELL INDU-CL A,Basic Materials,Chemicals,42631811240.40,108.05,"Bhavesh V Patel ""Bob""",1/12/2015,12643992,1-713-309-7200,www.lyondellbasell.com
M UN  EQUITY,MACY'S INC,"Consumer, Cyclical",Retail,8798052000.00,28.86,Tony Spring,01-01-2014,13483606,1-513-579-7000,www.federated-fds.com
MA UN  EQUITY,MASTERCARD INC - A,Financial,Diversified Finan Serv,192172138602.08,182.81,"Ajaypal S Banga ""Ajay""",7/1/2010,16892056,1-914-249-2000,www.mastercard.us
MAA UN  EQUITY,MID-AMERICA APARTMENT COMM,Financial,REITS,10208132795.88,89.89,H Eric Bolton Jr,10/1/2001,4276313,1-901-682-6600,www.maac.com
MAC UN  EQUITY,MACERICH CO/THE,Financial,REITS,8051107064.88,57.17,Arthur M Coppola,1/1/1993,13537911,1-310-394-6000,www.macerich.com
MAR UW  EQUITY,MARRIOTT INTERNATIONAL -CL A,"Consumer, Cyclical",Lodging,50130137339.94,140.45,Arne M Sorenson,3/31/2012,12298378,1-301-380-3000,www.marriott.com
MAS UN  EQUITY,MASCO CORP,Industrial,Building Materials,12892926310.00,41.14,Keith J Allman,2/14/2014,9765728,1-313-274-7400,www.masco.com
